Loại KH,Tên Công Ty/Đơn Vị,Họ Tên Chủ,SĐT,Tỉnh,Quận/Huyện,Địa Chỉ,Nguồn,Thông Tin Chi Tiết,Khu vực
ĐL Nhôm,Phương Bắc,,982818336,Bắc Ninh,,Bắc Ninh,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Cần Hà,,852556123,Bắc Ninh,,Bắc Ninh,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Quang Núi,,983384919,Bắc Ninh,,Bắc Ninh,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Minh Đức,,973134057,Hưng Yên,Mỹ Hào,Hưng Yên,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Thanh Vỹ,,972430727,Hưng Yên,Mỹ Hào,Mỹ Hào,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Panel vina,,858064666,Hưng Yên,Văn Giang,Văn Giang,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Thanh Sơn,,988126386,Hưng Yên,Yên Mỹ,Yên Mỹ,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Bảo Nam,,966458572,Hưng Yên,Khoái Châu,Khoái Châu,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Minh Phương,,388539255,Hải Dương,Kim Thành,Kim Thành,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Tân Hùng Thịnh,,965137622,Hải Dương,TP Hải Dương,Nam sách.TP Hải Dương,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Tiến Thịnh,,972382686,Hải Dương,Cẩm Giàng,Cẩm Giàng,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Phi Diệp,,968580590,Nghệ An,TP Vinh,TP Vinh,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Austdoor Hoàng Thịnh,,911268528,Hà Tĩnh,Kỳ Anh,Kỳ Anh,Data tổng hợp,,Miền Bắc
ĐL Nhôm,ĐL Thành Nam,,944596662,Nam Định,Tp Nam Định,"728 Trần huy liệu,tp Nam Định",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH TM&SX Gia Huy,,0986 799 799,Hải Dương,,"Lô 101/77 đường Trường Chinh, TP.HD, Hải Dương",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH TM&DV SX đầu Tư Minh Tâm,,0904 397 087,Hải Dương,,"76 Cầu Cốn, Phường Trần Hưng Đạo, TP. Hải Dương, Hải Dương",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH TM&SX Quang Tiến,,0988 231 668,Hải Dương,,"278 Hùng Vương ,P. Sao Đỏ , TP Chí Linh , Hải Dương",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX&TM Thành Đạt,,0976 299 655,Hải Dương,,"Số 6, Nữ Vương, xã Tráng Liệt, Bình Giang, Hải Dương",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Thái Sơn HD,,0963 837 868,Hải Dương,,"Thôn Phủ, Xã Thái Học, Bình Giang, Hải Dương",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,ĐL Đến Vân,,988104347,Hải Dương,,"CẦU RÀM,NGHĨA AN,NINH GIANG, HẢI DƯƠNG",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Hải Dương,,0978 868 369,Hải Dương,,"Thôn Thanh Kỳ, Xã An Thanh, Huyện Tứ Kỳ, Hải Dương",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH Đầu Tư XD & XD Quang Thắng,,0904 667 999,Hà Nội,,"51 Thạch Bàn, Long Biên, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX Cơ Khí - Cửa và Thương Mại Sơn Hà,,0913 040 232,Hà Nội,,"91 Dốc Lã, Yên Viên, Gia Lâm, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH Đầu Tư Xây Dựng Quốc Tế Tiến Phát,,0947 008 118,Hà Nội,,"Đông Dư, Gia Lâm, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Đức Huy,,0989 839 686,Hà Nội,,"Số 33 Khối Phố Nguyên Khê, Thị Trấn Đông Anh, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH CK & XD Tân Trung,,0913 549 891,Hà Nội,,"273 đừơng cao lỗ, Đông Anh, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Cơ Khí Và Xây Dựng Hùng Long,,0989 849 506,Hà Nội,,"Xóm 1, Thôn Lương Quy, Xã Xuân Nộn, Huyện Đông Anh, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Asian Window Việt Nam,,0977 876 838,Hà Nội,,"Thôn Tiên Tảo, Xã Việt Long, Huyện Sóc Sơn, TP Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Cơ Khí Và Xây Dựng Phúc Thịnh,,0914 567 974,Hà Nội,,"số 84 Núi Đôi,TT Sóc Sơn, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH HTTT,,0983 997 114,Hà Nội,,"Thôn Bái Thượng, Xã Thanh Xuân, Huyện Sóc Sơn, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Sản Xuất Và Thương Mại Phú Thanh,,0982 883 014,Hà Nội,,"Đường 301, Thôn Do Thượng, Xã Tiền Phong, Huyện Mê Linh, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty cổ phần đầu tư kiến trúc và xây dựng Gia Phát,,097 589 30 30,Hà Nội,,"LÔ 33B Khu dân cư 4B , tổ 3 phường Phú La, Quận Hà Đông, Thành Phố Hà Nội, Việt Nam",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty cổ phần xuất nhập khẩu và đầu tư thương mại Hải Quân,,098 325 63 66,Hà Nội,,"572 Quang Trung, Hà Đông,Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Sản Xuất Thương Mại AN GIA,,098 497 37 63,Hà Nội,,"Số nhà 29, đường Phùng hưng, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX TM&XD Duy Mạnh,,0914 941 525,Hà Nội,,Thôn Đôn Thư - Xã Kim Thư - Thanh Oai - Hà Nội,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Tư Vấn Xây Dựng Thương Mại Sao Phương Nam,,0917.061.888,Hà Nội,,"Thôn 7, Xã Phú Cát, Huyện Quốc Oai",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Thắng Hồng,,091 911 0866,Hà Nội,,"Xóm 3 - Hội Xá, Xã Hương Sơn, Huyện Mỹ đức",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty CP ĐT Xây dựng và TM Trưởng Toản,,0974 430 268,Hà Nội,,"Số 29, Ngõ 59, Phố Giảng Võ, Phường Cát Linh, Quận Đống Đa, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty CP ĐT & TM Việt Úc,,0904 985 948,Hà Nội,,"Số 3, La Thành, phường Viên Sơn, thị xã Sơn Tây, TP Hà Nội.",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty CP TM DV & XD Bình Minh,,0972 685 510,Hà Nội,,"Đội 13, Linh Chiểu, Sen Chiểu, Phúc Thọ , Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Trung Đức,,0962 400 868,Hà Nội,,Phố Nhông - Phú Sơn - Ba Vì - Hà Nội,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Chính Lan,,0978 212 898,Hà Nội,,"Nương Tụ, Phú Sơn, Ba Vì, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX & TM Thanh Lộc Phát,,0988 366 926,Hà Nội,,"Cụm 4, xã Hồng Hà, huyện Đan Phượng, TP Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty CP TM và SX Phú Thành,,0988 956 633,Hà Nội,,"Số 26/275, đường Âu Cơ, phường Quảng An, quận Tây Hồ,Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty cổ phần XD TM và DV Hà Việt,,982822298,Hà Nội,,"SN44 ngõ 28, Võ Chí Công, Nghĩa Đô, Cầu Giấy, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN CỬA VIỆT NAM,,0987 708 986,Hà Nội,,"Số 216, La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, TP Hà Nội.",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty Cổ phần Đầu tư XNK Xây dựng Phúc Việt,,0988 566 661,Hà Nội,,"Số 44, ngõ 2, đường Phan Bá Vành, TDP Đống 1, phường Cố Nhuế 2, quận Bắc Từ Liêm, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty Cổ phần Nam Kim,,0986 363 693,Hà Nội,,"Số 51 Nguyễn Khang, Phường Trung Hòa, Quận Cầu Giấy, TP Hà Nội.",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty CP Cửa SHD Đông Dương,,0904 010 818,Hà Nội,,"Số 44, ngõ 16/64 Hoàng Cầu, Phường Ô Chợ Dừa, quận Đống Đa, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX & TM Bách Việt,,094 4433433,Hà Nội,,"Số 101, Đại Cồ Việt, Hai Bà Trưng, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Cty CP XD & ĐTTM Phú Thái,,090 2207535,Hà Nội,,"Số 388  Minh Khai, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty Cổ phần nhôm Aluvina,,961.588881,Hà Nội,,"Cụm CN Hà Bình Phương, Xã Văn Bình, huyện Thường Tín, HN",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,CÔNG TY CỔ PHẦN APTMETAL QUANG TRUNG,,0933 267799,Hà Nội,,"BT4-5, khu đấu giá Tứ Hiệp - Ngũ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Thành phố Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX & TM Anh Nguyễn,,0986 875 999,Hà Nội,,Số 14 Lô 14 Khu đất dịch vụ Cầu Dừa  - Thường Tín - Hà Nội,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH Sản Xuất Và DVTM Đức Tùng,,0969 696686,Hà Nội,,"Số 51, TT Phú Minh, H - Phú Xuyên, Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại lý Thành Nam,,968141183,Nam Định,,397 Đường Điện Biên - Tp Nam Định,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Hoàng Nguyên,,973759177,Nam Định,,Thị trấn Yên Định - Hải Hậu- Nam Định,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Huynh Phú,,825886668,Nam Định,,Yên Bằng- Ý yên - Nam Định,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Trung Kiên,,943928328,Nam Định,,Cổ Lễ - Trực Ninh - Nam Định,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Nam Bình,,912039556,Nam Định,,TT Ngô Đồng - Giao thủy - Nam Định,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại lý Thảo Bẩy,,912027765,Thái Bình,,18 Đốc Đen -P Trần Lãm - Thành Phố Thái Bình,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Nguyên Phương,,976688790,Thái Bình,,Thanh Nê - Kiến Xương - Thái Bình,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Lâm Liên,,983827368,Thái Bình,,Thụy Liên- Thái Thụy - Thái Bình,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Trường Giang,,362375538,Thái Bình,,An Mỹ- Quỳnh Phụ - Thái Bình,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Duy Toàn,,974689286,Thái Bình,,Ngã 4 Hiệp Hòa - Vũ Thư - Thái Bình,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH AD Bình Minh,,0946.110.959,Ninh Bình,,"Số 51,Phạm Thận Duật,Phố Đào Phong,Phường Ninh Sơn,Tp Ninh Bình,Tỉnh Ninh Bình",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,CÔNG TY CỔ PHẦN VINAKEWAY,,0914 274 966,Hưng Yên,,"Số 255, Thị Trấn Bần Yên Nhân, Thị xã Mỹ Hào, Tỉnh Hưng Yên",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,CÔNG TY TNHH THANH VỸ,,0966 069 998,Hưng Yên,,"Thôn Phan, Xã Bạch Sam, Thị xã Mỹ Hào, Tỉnh Hưng Yên",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Sơn Hà,,0912 164 736,Hưng Yên,,"43 Nguyễn Thiện Thuật Tp Hưng Yên, tỉnh Hưng yên",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX & DV Quang Tứ,,0986 834 773,Hưng Yên,,"Thôn Thư Thị, Xã Tân Lập, Huyện Yên Mỹ, Tỉnh Hưng Yên",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH Sản xuất thương mại và du lịch Minh Tấn,,0968 826 838,Hưng Yên,,"Thôn Yên Lịch, Xã Dân Tiến, Huyện Khoái Châu , Tỉnh Hưng Yên",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại lý Độ Huyền,,0979 572 840,Hưng Yên,,"Dị chế 3, Thị trấn Vương, Tiên Lữ, Hưng Yên.",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công ty TNHH SX&TM Vũ Huy,,0944 560 666,Hưng Yên,,"Chợ Mễ Sở, thôn Phú Thị, xã Mễ Sở, Văn Giang, Hưng Yên",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại Lý Huy Thục,,0975 157 229,Hưng Yên,,"Lạc Đạo, Văn Lâm, Văn Giang",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Công Ty TNHH SX&TM DYB,,384893333,Yên Bái,,"35 Lý Thường Kiệt,Phường Nguyễn Thái Học, TP Yên Bái, Tỉnh Yên Bái",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại lý Đức Ngọc,,982429027,Yên Bái,,"Sô 441, Nguyễn Tất Thành, Tổ 6,TT Yên Thế, Lục Yên, Yên Bái",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Đại lý Đại Hưng,,912504690,Yên Bái,,"Tổ 13, Phường Trung Tâm, TX Nghĩa Lộ, Yên Bái",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Sơn Nam,,912247337,Điện Biên,,Số 348  - Tổ 4 -  P. Tân Thanh - TP. Điện Biên,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Doanh nghiệp TM tư nhân Sáu Quyên,,913351118,Điện Biên,,Số 773 Đường Võ Nguyên Giáp - Tổ 7 - Phường Tân Thanh - TP.Điện Biên,Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Doanh nghiệp tư nhân C&T tỉnh Điện Biên,,973372999,Điện Biên,,"SN 360, Tổ 7, P.Noong Bua, TP Điện Biên Phủ",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,CTCP Đầu tư khai thác công nghệ quốc tế Cao Thiên,,984601828,Điện Biên,,"Số 3b, ngách 34/153 phố Vĩnh Tuy, P.Vĩnh Tuy, Q.Hai Bà Trưng, TP Hà Nội",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,CTY TNHH MTV xây dựng và thương mại Minh Châu,,969866688,Lai Châu,,"Tổ 1, P.Tân Phong, TP Lai Châu",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,Cty TNHH MTV Châu Long,,0986232299/0988070888,Lai Châu,,"Số 138 đường 58, Tp Lai Châu",Data tổng hợp,,Miền Bắc
ĐL Cửa Cuốn,"Công Ty TNHH Một Thành Viên Cơ Khí Và Xây Dựng Ngọc Tươi,",,098 339 6108,Hòa Bình,,"Địa chỉ: Số nhà 7, tổ 18, Phường Tân Thịnh, Thành phố Hòa Bình",Data tổng hợp,,Miền Bắc
